window,transactions,positives,prevalence,positive_clients
0,488272,447,0.0009154733427270046,5
1,500390,314,0.0006275105417774136,5
2,507501,437,0.0008610820471289712,5
3,491193,416,0.0008469176067248515,5
4,499632,416,0.000832612803023025,5
5,497305,466,0.0009370507032907371,5
6,505938,400,0.0007906107072408082,5
7,547141,599,0.0010947817838546188,5
8,526661,470,0.0008924146652210815,5
9,495367,596,0.001203148372822574,5
10,505181,472,0.0009343185907625188,5
11,515263,610,0.0011838614455142325,5
12,498196,613,0.0012304394254470127,5
13,506052,466,0.0009208539833851066,5
14,500425,698,0.0013948144077534097,5
15,514304,574,0.0011160714285714285,5
16,500686,693,0.001384101013409602,5
17,491881,514,0.001044968193526483,5
18,413464,672,0.0016252926494205058,5
