window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0009053775825090069,0.8402587269519439,0.0,106,98376,0.0010774985768886721
0,1,0.0006711969319018288,0.7714135772513088,0.0,87,99990,0.0008700870087008701
0,2,0.0006728006690021799,0.8237098590593689,0.0,80,97944,0.0008167932696234583
0,3,0.0014125330874457539,1.8477583796490074,0.0,77,100725,0.0007644576818069
0,4,0.006795354848975708,4.560682420552255,0.02,136,91276,0.0014899864148297472
1,0,0.0004380750442896968,0.8074997466387954,0.0,55,101381,0.0005425079650033044
1,1,0.0006059412941189985,1.082076497675616,0.0,54,96432,0.0005599800895968143
1,2,0.0005456722738842356,0.9458683195509339,0.0,60,104004,0.0005769008884273682
1,3,0.0011740118081979608,1.4542962569255184,0.0,81,100338,0.0008072714225916402
1,4,0.08367767934039463,96.72745954435076,0.14,85,98256,0.0008650871193616675
2,0,0.002077404170084151,2.323386693965513,0.02,93,104012,0.0008941276006614622
2,1,0.001946976340661624,2.848097319964182,0.02,71,103861,0.0006836059733682518
2,2,0.0017108062447868605,1.4861304512237012,0.0,113,98160,0.0011511817440912795
2,3,0.0008263479319956601,1.2558268527113745,0.0,67,101822,0.0006580110388717566
2,4,0.010940232066520356,11.012282887806935,0.02,99,99652,0.0009934572311644523
3,0,0.001020787506384879,1.312921767934359,0.0,81,104181,0.0007774930169608662
3,1,0.0011435764708956477,1.1562619171088817,0.0,97,98076,0.0009890289163505853
3,2,0.0010148542153744207,0.9943828631713628,0.0,99,97003,0.0010205869921548819
3,3,0.002329989619093011,4.892432883375961,0.02,47,98689,0.00047624355297956204
3,4,0.0009905119595831615,1.0615441907997056,0.0,87,93239,0.0009330859404326516
4,0,0.0011079850991513327,0.9688202927570791,0.0,118,103179,0.0011436435708816718
4,1,0.0006053489592109339,1.0694741810583652,0.0,58,102469,0.0005660248465389532
4,2,0.0012250572743938385,1.1048542009053985,0.0,108,97403,0.0011087954169789432
4,3,0.02142715593734514,43.95846633880858,0.02,49,100525,0.00048744093509077343
4,4,0.014887190985711158,19.587056786487864,0.02,73,96046,0.0007600524748557982
5,0,0.0010945191998997246,1.2566539773782037,0.0,90,103332,0.0008709789803739403
5,1,0.001074340526223501,1.0889289396848518,0.0,95,96290,0.000986602970194205
5,2,0.001315053163003974,1.2918163012887582,0.0,103,101180,0.00101798774461356
5,3,0.0017992596107074537,3.3542697292613703,0.0,52,96941,0.0005364087434625185
5,4,0.002453086480834159,2.2402981076572144,0.06,109,99545,0.001094982168868351
6,0,0.0008222561661365983,1.0379448558851045,0.0,83,104772,0.0007921963883480319
6,1,0.0008275506570571954,1.1122280830848705,0.0,74,99456,0.000744047619047619
6,2,0.001050172418608902,0.9795136479530653,0.0,106,98868,0.0010721365861552778
6,3,0.0010831246958684293,1.4128528484760683,0.0,78,101745,0.0007666224384490638
6,4,0.000820872279690768,0.9652312605982467,0.0,86,101124,0.0008504410426802738
7,0,0.0018939260546238996,1.4561757233646673,0.02,142,109179,0.001300616418908398
7,1,0.0011687337138437618,1.4647779031122312,0.0,89,111544,0.0007978914150469769
7,2,0.0013174728486646306,0.9511892217786051,0.0,151,109019,0.0013850796650125207
7,3,0.0011971883756157862,1.4919168885920955,0.0,87,108418,0.000802449777712188
7,4,0.0014502294726767753,1.1210170970637383,0.0,141,108992,0.0012936729301233118
8,0,0.0013130119532293685,1.4271389522040652,0.0,100,108692,0.0009200309130386781
8,1,0.0011857371237321743,1.3024011752640126,0.0,95,104347,0.000910423874189004
8,2,0.0013438021348294448,1.2320679086273654,0.0,115,105438,0.001090688366623039
8,3,0.001257702970201512,1.9986275809125686,0.0,64,101703,0.0006292833053105611
8,4,0.001376107504704755,1.5263469084215315,0.02,96,106481,0.0009015692940524601
9,0,0.0013318635243172636,1.8058471153512916,0.0,75,101691,0.0007375283948432014
9,1,0.0014456397841904021,1.0645234852951535,0.0,133,97937,0.0013580158673432922
9,2,0.0026953208841596406,1.9441108165424013,0.0,134,96653,0.0013864029052383267
9,3,0.0032752704033745007,2.8207835392430867,0.0,114,98181,0.0011611207871176704
