typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.37255052
1,1334,18,0.013493253373313344,0.33964998
2,345,22,0.06376811594202898,0.3738551
3,1870,0,0.0,0.36080042
4,394,8,0.02030456852791878,0.37677386
5,656,1,0.001524390243902439,0.3477508
6,529,0,0.0,0.36078715
7,338,1,0.0029585798816568047,0.34749174
8,382,1,0.002617801047120419,0.3458773
9,364,0,0.0,0.3650397
10,506,0,0.0,0.36385524
11,54,1,0.018518518518518517,0.33202642
12,945,8,0.008465608465608466,0.37523
13,250,4,0.016,0.34958023
14,383,0,0.0,0.3440927
15,354,0,0.0,0.36743695
16,237,0,0.0,0.3771724
