typ,positives,captured,capture_rate,mean_score
0,932,3,0.003218884120171674,0.3726512
1,1334,19,0.01424287856071964,0.33956176
2,345,21,0.06086956521739131,0.37412944
3,1870,0,0.0,0.36078337
4,394,9,0.02284263959390863,0.3769063
5,656,1,0.001524390243902439,0.34762245
6,529,0,0.0,0.3607391
7,338,1,0.0029585798816568047,0.34752688
8,382,1,0.002617801047120419,0.3458153
9,364,0,0.0,0.3649712
10,506,0,0.0,0.3638776
11,54,2,0.037037037037037035,0.3323336
12,945,8,0.008465608465608466,0.37522635
13,250,5,0.02,0.34980154
14,383,0,0.0,0.34408802
15,354,0,0.0,0.367216
16,237,0,0.0,0.3770953
