window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.018127133465280203,21.166554169872303,0.032,5,5,335,500411,0.0006694497123364595
2,0.0012544844213638268,1.4664458351823455,0.004,5,5,443,507507,0.0008728943640186244
3,0.0017739430731736638,2.90015611341508,0.004,5,5,411,491188,0.000836746826062526
4,0.0077071060997021355,13.097495983991545,0.008,5,5,406,499622,0.0008126143364383474
5,0.001309442913325885,1.4281079566437267,0.012,5,5,449,497288,0.0009028973150367594
6,0.0008696767292632485,1.0383358433054561,0.0,5,5,427,505965,0.00084393189252221
7,0.0013011372121126898,1.1927283573759537,0.004,5,5,610,547152,0.0011148638769482703
8,0.0012365081030261192,1.4232985874557358,0.004,5,5,470,526661,0.0008924146652210815
9,0.0017089210321489662,1.4804074489607673,0.0,5,5,567,495338,0.0011446729304030784
10,0.0019143742284080181,2.0449703204892087,0.0,5,5,464,505173,0.0009184972276823979
11,0.0021421064835528917,1.8773110794058359,0.004,5,5,616,515269,0.0011954920633688423
12,0.003511800342113222,2.8222168823026643,0.012,5,5,605,498188,0.0012144009891848057
13,0.0018159443213481424,2.076577367072364,0.0,5,5,447,506033,0.000883341600251367
14,0.006665914789792513,4.932283367628813,0.04,5,5,699,500426,0.0013968099179499068
15,0.004307320486349362,3.768119118874428,0.02,5,5,557,514287,0.0010830528479234358
16,0.011346933295320003,8.25850762043575,0.052000000000000005,5,5,685,500678,0.001368144795657089
17,0.002952666413750019,2.8453362240878812,0.008,5,5,520,491887,0.001057153370591213
18,0.016743827736837517,10.706003559051535,0.06,5,5,676,413468,0.0016349511933208857
