window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.018127133465280203,21.166554169872303,0.032,5,5,335,500411,0.0006694497123364595
2,0.0012544844213638268,1.4664458351823455,0.004,5,5,443,507507,0.0008728943640186244
3,0.0017739430731736638,2.90015611341508,0.004,5,5,411,491188,0.000836746826062526
4,0.007708284288727765,13.100052257942078,0.008,5,5,406,499622,0.0008126143364383474
5,0.0013335697001816214,1.478740203474961,0.012,5,5,449,497288,0.0009028973150367594
6,0.0008746327468839611,1.044884578670214,0.0,5,5,427,505965,0.00084393189252221
7,0.0013075184015758337,1.204239208576944,0.004,5,5,610,547152,0.0011148638769482703
8,0.0012438771221151203,1.438264806403514,0.004,5,5,470,526661,0.0008924146652210815
9,0.0017012760338910784,1.4849526862425635,0.0,5,5,567,495338,0.0011446729304030784
10,0.002389468451036222,2.432753554399979,0.008,5,5,464,505173,0.0009184972276823979
11,0.001955454350570189,1.681607900038808,0.0,5,5,616,515269,0.0011954920633688423
12,0.002830762098797844,2.335426891112943,0.008,5,5,605,498188,0.0012144009891848057
13,0.002619425618743264,2.924263572220698,0.008,5,5,447,506033,0.000883341600251367
14,0.00682429635114658,5.073748691674378,0.04,5,5,699,500426,0.0013968099179499068
15,0.013852235773093977,11.467513612781925,0.044,5,5,557,514287,0.0010830528479234358
16,0.01037735693922316,7.543208681849504,0.048,5,5,685,500678,0.001368144795657089
17,0.003665175600392908,3.526706622405925,0.008,5,5,520,491887,0.001057153370591213
18,0.013849314047606814,8.770946977149807,0.06,5,5,676,413468,0.0016349511933208857
