window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.018127170826973616,21.166597513074713,0.032,5,5,335,500411,0.0006694497123364595
2,0.0012544859614173373,1.466447278290863,0.004,5,5,443,507507,0.0008728943640186244
3,0.0017739430516099074,2.9001560834637914,0.004,5,5,411,491188,0.000836746826062526
4,0.0077071882713919595,13.097531574991226,0.008,5,5,406,499622,0.0008126143364383474
5,0.001311138109376049,1.429701738266448,0.012,5,5,449,497288,0.0009028973150367594
6,0.0008700548862046782,1.0389607871428275,0.0,5,5,427,505965,0.00084393189252221
7,0.001300672325395866,1.1905989628394038,0.004,5,5,610,547152,0.0011148638769482703
8,0.0012261193584226873,1.40798974869,0.004,5,5,470,526661,0.0008924146652210815
9,0.0017554936986469085,1.513446413967759,0.0,5,5,567,495338,0.0011446729304030784
10,0.001864962924974021,1.9935326764473031,0.0,5,5,464,505173,0.0009184972276823979
11,0.002658895619493656,2.4234037358484484,0.004,5,5,616,515269,0.0011954920633688423
12,0.004277324922308231,3.4380510819940775,0.02,5,5,605,498188,0.0012144009891848057
13,0.0018869449705737663,2.153304518584528,0.0,5,5,447,506033,0.000883341600251367
14,0.006017704870407801,4.416130482284643,0.044000000000000004,5,5,699,500426,0.0013968099179499068
15,0.0036727053860062405,3.269446998335534,0.016,5,5,557,514287,0.0010830528479234358
16,0.011252971274618457,8.14113429103151,0.064,5,5,685,500678,0.001368144795657089
17,0.003282344074425107,3.124959033037157,0.012,5,5,520,491887,0.001057153370591213
18,0.012090093714394665,7.756905377922689,0.06,5,5,676,413468,0.0016349511933208857
