window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.018127042325014314,21.16643735810755,0.032,5,5,335,500411,0.0006694497123364595
2,0.0012313309486894346,1.4330128207784674,0.004,5,5,443,507507,0.0008728943640186244
3,0.0016319200073065827,2.601896041614476,0.004,5,5,411,491188,0.000836746826062526
4,0.0077073098304452385,13.097937186182552,0.008,5,5,406,499622,0.0008126143364383474
5,0.001332861177256468,1.4730690999504614,0.012,5,5,449,497288,0.0009028973150367594
6,0.000873402883434699,1.043109232842979,0.0,5,5,427,505965,0.00084393189252221
7,0.0013002587782474213,1.1941250061554587,0.004,5,5,610,547152,0.0011148638769482703
8,0.0012383791400322867,1.427606307102583,0.004,5,5,470,526661,0.0008924146652210815
9,0.001757274526474517,1.5177425757312353,0.0,5,5,567,495338,0.0011446729304030784
10,0.0019506349645130243,2.0722684709836257,0.0,5,5,464,505173,0.0009184972276823979
11,0.0021469254294085565,1.8680417815970507,0.004,5,5,616,515269,0.0011954920633688423
12,0.003063585690920562,2.494077031690204,0.008,5,5,605,498188,0.0012144009891848057
13,0.0018663692090565291,2.1231134323008427,0.0,5,5,447,506033,0.000883341600251367
14,0.006366224411705336,4.711209346421377,0.036000000000000004,5,5,699,500426,0.0013968099179499068
15,0.00684626339968433,5.821686775819653,0.032,5,5,557,514287,0.0010830528479234358
16,0.01150393466117185,8.351248561055385,0.048,5,5,685,500678,0.001368144795657089
17,0.003232259347273764,3.1165991057164106,0.008,5,5,520,491887,0.001057153370591213
18,0.014996339748460236,9.70356628854405,0.06,5,5,676,413468,0.0016349511933208857
