window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.018127042264384295,21.16643725874865,0.032,5,5,335,500411,0.0006694497123364595
2,0.001231330621121546,1.4330125351781844,0.004,5,5,443,507507,0.0008728943640186244
3,0.0016319192876527854,2.6018951821236516,0.004,5,5,411,491188,0.000836746826062526
4,0.00770714515276775,13.097997312941027,0.008,5,5,406,499622,0.0008126143364383474
5,0.0013190898527223691,1.449916560525121,0.012,5,5,449,497288,0.0009028973150367594
6,0.0008726340135434907,1.0415429832487195,0.0,5,5,427,505965,0.00084393189252221
7,0.0013062267735664428,1.2030032695814996,0.004,5,5,610,547152,0.0011148638769482703
8,0.0012582894822963594,1.4530942186453344,0.004,5,5,470,526661,0.0008924146652210815
9,0.0018031270145124755,1.5687428048721634,0.0,5,5,567,495338,0.0011446729304030784
10,0.006189312666999009,5.529559426830808,0.028000000000000004,5,5,464,505173,0.0009184972276823979
11,0.0019715761196432906,1.6899200541302424,0.0,5,5,616,515269,0.0011954920633688423
12,0.0027507049617309758,2.2716815864553555,0.004,5,5,605,498188,0.0012144009891848057
13,0.004313547944437754,4.664906180828535,0.02,5,5,447,506033,0.000883341600251367
14,0.005153598419452435,3.7979835248490526,0.008,5,5,699,500426,0.0013968099179499068
15,0.017636581424742788,14.530166572862413,0.044,5,5,557,514287,0.0010830528479234358
16,0.007176126195399264,5.199407573042104,0.032,5,5,685,500678,0.001368144795657089
17,0.004703313862645728,4.516496280106706,0.008,5,5,520,491887,0.001057153370591213
18,0.02111688576216506,13.564719421382355,0.092,5,5,676,413468,0.0016349511933208857
