window,client,auprc,ap_lift,p_at_budget,positives,transactions,prevalence
0,0,0.0008428410343707109,0.8345416303077748,0.0,98,97035,0.001009944865254805
0,1,0.001783576825786341,1.3566756702708394,0.0,131,99645,0.0013146670680917257
0,2,0.0006966256068232175,0.9587168706011256,0.0,74,101841,0.0007266228729097318
0,3,0.0008084814821637906,1.8890859997875888,0.0,41,95800,0.0004279749478079332
0,4,0.010412389538863004,8.813853231369631,0.02,111,93959,0.0011813663406379379
1,0,0.0007333613440786298,1.168977982461336,0.0,66,105204,0.0006273525721455458
1,1,0.0009781112219564118,1.6650713368437984,0.0,57,97033,0.0005874290189935383
1,2,0.0005576696983553534,0.9102656596354981,0.0,60,97936,0.0006126449926482601
1,3,0.001746969761399407,2.759638998558104,0.02,64,101099,0.0006330428589798119
1,4,0.0012625702617059024,1.7381910007093633,0.0,72,99123,0.0007263702672437275
2,0,0.0015781039191029717,1.8577476909583017,0.02,84,98885,0.0008494716084340396
2,1,0.0009352551748476729,0.8605516677567151,0.0,112,103054,0.0010868088574921885
2,2,0.0011430046556267176,1.529904309448208,0.0,77,103064,0.0007471085927190872
2,3,0.0015159943709600592,1.798474655415617,0.0,84,99652,0.0008429334082607474
2,4,0.0011629635866500518,1.6383289354452695,0.0,73,102839,0.0007098474314219314
3,0,0.0008815561033147688,1.0272617703202886,0.0,85,99049,0.0008581611121768013
3,1,0.0009546047555578104,1.0054789633458532,0.0,92,96903,0.0009494030112586814
3,2,0.0009453720635288368,1.3505057003419816,0.0,68,97141,0.0007000133826087851
3,3,0.0013069352728213714,1.426940973872436,0.0,90,98264,0.0009159000244240007
3,4,0.002023026014499062,2.0200926267780384,0.0,100,99855,0.0010014521055530519
4,0,0.00085657723651644,1.1027882832177038,0.0,78,100420,0.0007767377016530572
4,1,0.0008443981075218477,1.084184949055223,0.0,76,97582,0.0007788321616691603
4,2,0.000776660287804955,1.0031382630883259,0.0,81,104620,0.0007742305486522653
4,3,0.0011798090073843932,1.1945505384869695,0.0,97,98212,0.000987659349163035
4,4,0.0012327990567428206,1.2822278105021196,0.0,95,98809,0.0009614508799805685
5,0,0.0011379946905380246,1.2678525291138636,0.0,90,100270,0.0008975765433330009
5,1,0.0009803570556251415,0.9413902421714587,0.0,103,98906,0.0010413928376438234
5,2,0.0014035085650233097,1.2780859359853176,0.0,110,100170,0.0010981331736048716
5,3,0.01643069462305707,23.487677963660083,0.06,68,97206,0.0006995452955578874
5,4,0.0010520989261479227,1.2183184633881892,0.0,87,100745,0.0008635664300957864
6,0,0.0008154550207061738,1.1118729207328681,0.0,76,103626,0.0007334066740007334
6,1,0.0009175094019342712,1.0215549681136176,0.0,90,100206,0.0008981498113885396
6,2,0.000834226402290969,0.9402019218095872,0.0,87,98052,0.0008872842981275242
6,3,0.0006532209825668288,1.0173223993345333,0.0,66,102788,0.0006420982994123828
6,4,0.000982184044749094,0.9658588109179246,0.0,103,101288,0.0010169022983966512
7,0,0.0015659720138747986,1.5470339971836398,0.02,107,105706,0.0010122415000094601
7,1,0.001517796784722021,1.2444283855606744,0.0,138,113145,0.0012196738698130717
7,2,0.0012313286868397637,1.2388397918294862,0.0,110,110671,0.0009939369843951894
7,3,0.0016210373850975308,1.332604099530826,0.02,131,107691,0.001216443342526302
7,4,0.0013939739203623987,1.2561418924826313,0.0,122,109937,0.0011097264797111073
8,0,0.001166696582892216,1.4854825349224796,0.0,84,106952,0.000785399057521131
8,1,0.0012058995396097196,1.0390246122625892,0.0,123,105979,0.001160607290123515
8,2,0.0012469285929388129,1.34325710813437,0.0,95,102339,0.000928287358680464
8,3,0.0009763019702100637,1.0874549881375966,0.0,94,104702,0.0008977860976867682
8,4,0.001091938775206743,1.3240129901236943,0.0,88,106703,0.0008247190800633534
9,0,0.001186433344827478,1.1435604816289549,0.0,103,99278,0.0010374906827293057
9,1,0.0015492601881367456,1.4723085850056037,0.0,103,97884,0.0010522659474479998
9,2,0.0018786640629456493,2.4613755575630445,0.0,75,98263,0.000763257787773628
9,3,0.0018582616581134016,1.125949843953989,0.0,166,100582,0.0016503947028295321
9,4,0.003109891896629857,2.432523159270998,0.0,127,99338,0.0012784634278926493
10,0,0.0011406759737089276,1.2988951704534888,0.0,92,104761,0.0008781894025448402
10,1,0.0010114648701446253,1.5340298922350164,0.0,67,101615,0.0006593514736997491
10,2,0.0014808241574981555,1.7054158213853756,0.0,87,100195,0.0008683068017366136
10,3,0.0031612404825520075,2.5397040273461213,0.0,121,97210,0.0012447279086513733
10,4,0.0013939055615769277,1.6058900857881098,0.0,88,101383,0.0008679956205675508
11,0,0.0025651854549892765,1.4779436463431035,0.0,181,104284,0.001735644969506348
11,1,0.0012269692412858063,1.1004313699671135,0.0,115,103140,0.001114989334884623
11,2,0.05121199115655603,53.394023642501054,0.1,102,106346,0.0009591333947680214
11,3,0.00990180005786137,7.208656056829811,0.06,136,99010,0.0013735986264013737
11,4,0.011632686747824628,11.577346781742744,0.08,103,102510,0.0010047800214613208
12,0,0.001101146442287365,1.222859031109324,0.0,92,102169,0.0009004688310544295
12,1,0.0022131506906645153,1.905309195034101,0.0,114,98143,0.0011615703616151942
12,2,0.031429817259390404,19.929306801317413,0.12,157,99552,0.0015770652523304403
12,3,0.001898313787715066,1.5057178029029046,0.02,123,97562,0.0012607367622639962
12,4,0.002186272122174015,1.8057353310726607,0.0,122,100765,0.001210737855406143
13,0,0.0017979582110183687,3.057278107985818,0.0,60,102025,0.00058809115412889
13,1,0.015672945716427838,22.752574297436865,0.02,69,100168,0.0006888427441897612
13,2,0.018579903365913992,15.814568822800396,0.06,121,102991,0.00117485993921799
13,3,0.004047836852262947,3.29293200591447,0.0,121,98434,0.0012292500558750026
13,4,0.00144204477169242,1.9957315027477813,0.0,74,102413,0.0007225645181764033
