window,auprc,ap_lift,p_at_budget,positive_clients,total_clients,positives,transactions,prevalence
1,0.0011331972413057467,1.766838207084103,0.004,5,5,319,500395,0.0006374963778614895
2,0.0012748068034360643,1.545815406413565,0.004,5,5,430,507494,0.0008473006577417664
3,0.001233844000714194,1.3733813258270644,0.0,5,5,435,491212,0.0008855646849018346
4,0.0009193977945732943,1.0705897328124248,0.0,5,5,427,499643,0.0008546101916768572
5,0.0029297537095286817,3.82994083118668,0.012,5,5,458,497297,0.0009209788114547242
6,0.0008936190887324698,1.0768915310123965,0.0,5,5,422,505960,0.0008340580283026326
7,0.0015587729428412442,1.4055806504496697,0.004,5,5,608,547150,0.001111212647354473
8,0.0012063189247227847,1.3204311151900165,0.0,5,5,484,526675,0.0009189728010632743
9,0.008297233410216726,6.644424535910396,0.048,5,5,574,495345,0.0011587883192522384
10,0.005142557521304726,4.598729306814549,0.024,5,5,455,505164,0.0009006975952363985
11,0.029278091420029368,26.70527475738728,0.092,5,5,637,515290,0.0012361970928991442
12,0.011835976374644645,9.75863527801758,0.044,5,5,608,498191,0.001220415463145661
13,0.008027618014959065,7.250712580481926,0.024,5,5,445,506031,0.0008793927644749037
14,0.010832307025368292,7.875426923143659,0.036,5,5,702,500429,0.0014027964006882096
15,0.008151951177643548,7.075683425976121,0.024,5,5,547,514277,0.0010636291337158769
16,0.018994819894861698,12.52380858118816,0.05600000000000001,5,5,682,500675,0.001362161082538573
17,0.009712517742164833,7.863144699643394,0.04,5,5,518,491885,0.0010530916779328502
18,0.0046668534452653735,2.973965877339159,0.016,5,5,667,413459,0.0016132192067411762
