typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3548306
1,1334,0,0.0,0.29954082
2,345,60,0.17391304347826086,0.38443512
3,1870,2,0.0010695187165775401,0.35283476
4,394,31,0.07868020304568528,0.3814704
5,656,0,0.0,0.35560772
6,529,1,0.001890359168241966,0.37241495
7,338,0,0.0,0.34260973
8,382,1,0.002617801047120419,0.3397194
9,364,1,0.0027472527472527475,0.3712511
10,506,0,0.0,0.3766425
11,54,1,0.018518518518518517,0.3217065
12,945,4,0.004232804232804233,0.36793497
13,250,0,0.0,0.34687102
14,383,1,0.0026109660574412533,0.35372746
15,354,0,0.0,0.36594564
16,237,2,0.008438818565400843,0.37309867
