typ,positives,captured,capture_rate,mean_score
0,932,0,0.0,0.3537841
1,1334,0,0.0,0.29928505
2,345,67,0.19420289855072465,0.38537875
3,1870,3,0.0016042780748663102,0.35249043
4,394,35,0.08883248730964467,0.38468677
5,656,0,0.0,0.3550849
6,529,2,0.003780718336483932,0.3722361
7,338,0,0.0,0.34243107
8,382,1,0.002617801047120419,0.33909675
9,364,1,0.0027472527472527475,0.37164202
10,506,0,0.0,0.37684804
11,54,1,0.018518518518518517,0.32014027
12,945,4,0.004232804232804233,0.36764488
13,250,0,0.0,0.3468499
14,383,0,0.0,0.35330403
15,354,0,0.0,0.36557913
16,237,2,0.008438818565400843,0.3731143
