condition,method,n_seeds,auprc_mean,auprc_std,auprc_ci_lo,auprc_ci_hi,ap_lift_mean,ap_lift_std,ap_lift_ci_lo,ap_lift_ci_hi,p_at_budget_mean,p_at_budget_std,p_at_budget_ci_lo,p_at_budget_ci_hi,window_macro_auprc_mean,window_macro_auprc_std,window_macro_auprc_ci_lo,window_macro_auprc_ci_hi,transaction_weighted_window_auprc_mean,transaction_weighted_window_auprc_std,transaction_weighted_window_auprc_ci_lo,transaction_weighted_window_auprc_ci_hi
control,ablate_g1,10,0.001334182330979552,0.0003327483641512653,0.001170727073093455,0.00155091564293085,1.2945484837206895,0.33509465143553213,1.1297565231426332,1.5112110806742451,0.016311111111111113,0.014563121207836215,0.008355555555555557,0.025333333333333336,0.005757928399060278,0.004110326808307135,0.0035326179615352096,0.008304917759145904,0.005715455628817428,0.00409516979593746,0.0034993362345397084,0.008254244918699992
control,ablate_g3,10,0.001328755214572188,0.00032111084920946327,0.0011717341140290878,0.0015379227229892808,1.2888794960130894,0.3241110945414491,1.1306152994052838,1.4991421664800273,0.013533333333333336,0.008227525817033872,0.008911111111111111,0.018488888888888895,0.004928707607614102,0.0022646422223002454,0.0036538157805493343,0.006298963609879945,0.0048260417932342705,0.0022385941797319815,0.003573205731524359,0.006187368028067654
control,ablate_nommd,10,0.0014542675515288141,0.00043338042694291936,0.0012263785493122487,0.0017257602907359336,1.3978245330586583,0.40256324206095184,1.1856317998541923,1.6486815360495304,0.015755555555555557,0.009657765165064799,0.010377777777777777,0.021533888888888884,0.005673583077455062,0.0031600876847127724,0.003960142659441578,0.0076044364142875695,0.005618080071854168,0.003174130310358298,0.0038964661275839247,0.007572339876572051
control,ablate_random,10,0.001335137887417908,0.00032882758153854395,0.0011698625952244479,0.0015503578075773833,1.2952076980490144,0.33106134038518603,1.1293463063477585,1.5104559716552606,0.015022222222222223,0.011103305900516251,0.00908888888888889,0.022,0.005480613638849519,0.00354756511668253,0.003615649446425814,0.007695413814958919,0.005458179328455147,0.00356820153365329,0.003589251737201173,0.007683989568080883
control,ablate_rho0,10,0.001328339922845828,0.000336782791718318,0.001163476062018749,0.0015467643124183535,1.2884395007032166,0.3381165539100614,1.1229564964836531,1.5077049014024142,0.014244444444444445,0.01090296394430978,0.008333333333333335,0.02082222222222222,0.0050442175106683255,0.00299358417287088,0.003418584278841941,0.006876159518328613,0.004966268487916224,0.002974140506719041,0.003351405630778952,0.006782637283361372
control,ablate_samplewt,10,0.001338440201819366,0.0003381684144004947,0.001171670286447326,0.0015576302346002732,1.298059544128726,0.33872606481059886,1.1310213513746743,1.5187412063771584,0.014222222222222225,0.008027387960974262,0.01,0.019267222222222217,0.004916356788086813,0.002301018795948799,0.003678580068544711,0.006360789355961445,0.0048613341012428615,0.0022899646041863856,0.003631074120827006,0.006292289768189496
control,cda_fedavg,10,0.00132686580090361,0.0003329235953970795,0.001163129828787532,0.0015439016940411439,1.2876278252852513,0.33514434501953416,1.1228178986736221,1.5058509517189227,0.015044444444444447,0.013053041523113118,0.007733333333333335,0.023133333333333332,0.005276204051971533,0.0035047282940991304,0.0032921164150854308,0.007412645959239433,0.0052318518099173745,0.0035021798881345726,0.0032483878022480516,0.00737803807799325
control,fedavg,10,0.00132686580090361,0.0003329235953970795,0.001163129828787532,0.0015439016940411439,1.2876278252852513,0.33514434501953416,1.1228178986736221,1.5058509517189227,0.015044444444444447,0.013053041523113118,0.007733333333333335,0.023133333333333332,0.005276204051971533,0.0035047282940991304,0.0032921164150854308,0.007412645959239433,0.0052318518099173745,0.0035021798881345726,0.0032483878022480516,0.00737803807799325
control,fedproto,10,0.001319358715646968,0.0004357110072648195,0.001089398751820979,0.001592504865937892,1.2689439179108017,0.40473087723311735,1.053553912610079,1.524192549168523,0.008088888888888889,0.007925025909439975,0.003822222222222222,0.012955555555555557,0.003683249112102676,0.0030214229687598056,0.0020867217252844073,0.005554179320694096,0.003664441720720957,0.003006340778834446,0.0020749618722029238,0.005525204446080794
control,fedprox,10,0.0014297519257871999,0.00044426922157340693,0.0011843923134655496,0.0017048024960593326,1.385461723141772,0.4359099841751138,1.140620328877822,1.6543433719450762,0.012,0.012069301488022377,0.0058444444444444455,0.019844999999999995,0.00433160542085128,0.0032302942742673895,0.0027207827469995153,0.006451798830545774,0.0043179739780687,0.0032584897888983245,0.0027027900917612835,0.006459577420474914
control,fedtypo,10,0.0014872856182962261,0.00029586178291739115,0.001328641300980924,0.0016742717617844653,1.441957465226945,0.2965460105692559,1.2831157510059301,1.6289538082769102,0.013222222222222224,0.00848867558390143,0.00871111111111111,0.018444999999999996,0.004923418200551937,0.0026267047102848076,0.0035342554783256166,0.006605759478484715,0.004876917515356872,0.002614988750412996,0.0035004709501474185,0.0065531895598105756
control,fedtypo_noreg,10,0.001345202521977696,0.0003335704782969409,0.0011812650136666806,0.0015626493568813508,1.304258848158896,0.33458432315384284,1.1392857843573714,1.5215729212237694,0.014155555555555555,0.00880519238258744,0.009355,0.019533333333333333,0.005110120243533233,0.0026981421652252724,0.0036715993572502214,0.006808521940099527,0.005044420882186746,0.0026758366049992465,0.003621073120964463,0.006728680977619939
control,local_only,10,0.0015991144822031862,0.0007161401769903387,0.001242694625403874,0.002068566499606065,1.542712966250036,0.6946594251813196,1.1976133735639987,2.0005231234587053,0.03362222222222223,0.010954476194544628,0.02744444444444445,0.0402,0.01219483127803257,0.004730364344605631,0.009551406172210168,0.015026319106101494,0.012108481651209677,0.004685376662240941,0.009489920388542024,0.014909686348710992
drift,ablate_g1,10,0.001274484737161906,0.0003530070374588614,0.001101372181139381,0.001505042784372003,1.2280974814464192,0.3541706081971079,1.0543338954000656,1.4594453557968026,0.014155555555555555,0.010853330704441498,0.008266111111111111,0.02068944444444444,0.004741845318685132,0.0034172515349331764,0.0029428164848216655,0.006855516279860338,0.00466984622691243,0.0033762372488171434,0.0028816930015940936,0.0067598707619093154
drift,ablate_g3,10,0.001332173505688082,0.0003378726467744596,0.0011600900666348631,0.001544139379064872,1.280156833225243,0.33506621093001315,1.1087461589485852,1.4898645884856674,0.01633333333333333,0.010504555155376438,0.010666666666666666,0.02266666666666667,0.005611819880817038,0.0035742998837978495,0.003735718842272882,0.007812146730004323,0.005545593788053893,0.003564820496821377,0.003674040124935233,0.007738356655592955
