condition,reference,comparison,metric,seed,difference
control,fedtypo,local_only,auprc,42,0.00013652163506923994
control,fedtypo,local_only,auprc,43,0.0002721246714041999
control,fedtypo,local_only,auprc,44,-5.237585400432007e-05
control,fedtypo,local_only,auprc,45,0.00027262442012641994
control,fedtypo,local_only,auprc,46,-0.00038561401881867996
control,fedtypo,local_only,auprc,47,-1.7526421838500025e-05
control,fedtypo,local_only,auprc,48,-0.0009495589887770003
control,fedtypo,local_only,auprc,49,-0.0010117409020900595
control,fedtypo,local_only,auprc,50,0.0002579369221958599
control,fedtypo,local_only,auprc,51,0.00035931989766324005
control,fedtypo,fedavg,auprc,42,0.0001837266103086998
control,fedtypo,fedavg,auprc,43,0.0003589882884053202
control,fedtypo,fedavg,auprc,44,-1.2924456829959807e-05
control,fedtypo,fedavg,auprc,45,0.0002980389279452801
control,fedtypo,fedavg,auprc,46,-1.003818138539626e-06
control,fedtypo,fedavg,auprc,47,1.1215716235020044e-05
control,fedtypo,fedavg,auprc,48,-1.140269465060243e-06
control,fedtypo,fedavg,auprc,49,3.15438628691999e-05
control,fedtypo,fedavg,auprc,50,0.00040427199624569997
control,fedtypo,fedavg,auprc,51,0.00033148131635050006
control,fedtypo,fedprox,auprc,42,0.00025509611288567977
control,fedtypo,fedprox,auprc,43,0.00036465887471397976
control,fedtypo,fedprox,auprc,44,-9.80657267930004e-06
control,fedtypo,fedprox,auprc,45,0.0002982442262158
control,fedtypo,fedprox,auprc,46,-1.0481282647099638e-05
control,fedtypo,fedprox,auprc,47,6.357160711559966e-06
control,fedtypo,fedprox,auprc,48,7.112685020639912e-06
control,fedtypo,fedprox,auprc,49,2.221858608438031e-05
control,fedtypo,fedprox,auprc,50,0.00040235521922634006
control,fedtypo,fedprox,auprc,51,-0.0007604180844417202
control,fedtypo,fedproto,auprc,42,0.00028977684445444
control,fedtypo,fedproto,auprc,43,-0.0007001630224925805
control,fedtypo,fedproto,auprc,44,0.00012921697083002003
control,fedtypo,fedproto,auprc,45,0.0004300267238568202
control,fedtypo,fedproto,auprc,46,8.845537511478025e-05
control,fedtypo,fedproto,auprc,47,0.00019454917413740005
control,fedtypo,fedproto,auprc,48,3.8865110892339705e-05
control,fedtypo,fedproto,auprc,49,0.00024928567101370003
control,fedtypo,fedproto,auprc,50,0.00050754118418362
control,fedtypo,fedproto,auprc,51,0.00045171499450203994
control,fedtypo,fedtypo_noreg,auprc,42,0.00022161500212768007
control,fedtypo,fedtypo_noreg,auprc,43,0.00031486049439582
control,fedtypo,fedtypo_noreg,auprc,44,0.0
control,fedtypo,fedtypo_noreg,auprc,45,0.0001459497837052201
control,fedtypo,fedtypo_noreg,auprc,46,0.0
control,fedtypo,fedtypo_noreg,auprc,47,0.0
control,fedtypo,fedtypo_noreg,auprc,48,0.0
control,fedtypo,fedtypo_noreg,auprc,49,0.0
control,fedtypo,fedtypo_noreg,auprc,50,0.0004080468819019601
control,fedtypo,fedtypo_noreg,auprc,51,0.0003303588010546202
control,fedtypo,cda_fedavg,auprc,42,0.0001837266103086998
control,fedtypo,cda_fedavg,auprc,43,0.0003589882884053202
control,fedtypo,cda_fedavg,auprc,44,-1.2924456829959807e-05
control,fedtypo,cda_fedavg,auprc,45,0.0002980389279452801
control,fedtypo,cda_fedavg,auprc,46,-1.003818138539626e-06
control,fedtypo,cda_fedavg,auprc,47,1.1215716235020044e-05
