condition,seed,method,auprc,ap_lift,p_at_budget,window_macro_auprc,transaction_weighted_window_auprc
control,42,local_only,0.00129201522062456,1.2510021276836887,0.035333333333333335,0.012893580395614895,0.012762324681167449
control,42,fedavg,0.0012448102453851,1.204262483547417,0.03755555555555556,0.010688919486853063,0.010746271940355143
control,42,fedprox,0.0011734407428081201,1.1338955037265281,0.006,0.0025253291952538775,0.0025167395846980166
control,42,fedproto,0.0011387600112393599,1.1026511867200093,0.0024444444444444444,0.001501382138616322,0.0014869722546565702
control,42,fedtypo_noreg,0.0012069218535661198,1.167051650812472,0.008222222222222223,0.00305400822497395,0.002991279719463861
control,42,fedtypo,0.0014285368556937999,1.3829544554322308,0.0071111111111111115,0.0028331102843403445,0.0028104394764158678
control,42,cda_fedavg,0.0012448102453851,1.204262483547417,0.03755555555555556,0.010688919486853063,0.010746271940355143
control,42,ablate_g1,0.00122760240986614,1.1875807301513754,0.024444444444444446,0.007292489326281595,0.0073399123524272485
control,42,ablate_g3,0.0012097760760957199,1.1700165399020652,0.011111111111111112,0.003645409490953439,0.003602345370967647
control,42,ablate_random,0.00118397562507352,1.14427120417702,0.012666666666666668,0.0038089966473728665,0.0038079432645382713
control,42,ablate_nommd,0.0012054840355242,1.1656871326266445,0.009555555555555557,0.0029970178592956336,0.002938218823590434
control,42,ablate_samplewt,0.00120106084107898,1.161133255862366,0.010666666666666668,0.0030376491073388382,0.00299639539046218
control,42,ablate_rho0,0.001190589484444,1.1510515516581121,0.006444444444444445,0.0024717181952214054,0.0024497450783699513
control,43,local_only,0.00120439983261602,1.1598623318248944,0.02266666666666667,0.006166233461522282,0.0060761702684086275
control,43,fedavg,0.0011175362156148998,1.0799537622239757,0.002888888888888889,0.0020031340315354446,0.0019957878847364093
control,43,fedprox,0.0011118656293062402,1.0735141388158778,0.004666666666666666,0.0020877732440972665,0.002085850540291025
control,43,fedproto,0.0021766875265128004,1.9781257087918989,0.012444444444444445,0.005615328288537456,0.0055904120711719706
control,43,fedtypo_noreg,0.0011616640096244,1.1206127267891037,0.016,0.004594750133743662,0.004602658131185065
control,43,fedtypo,0.00147652450402022,1.434269465170144,0.010222222222222221,0.003617100197521,0.0036337880900242235
control,43,cda_fedavg,0.0011175362156148998,1.0799537622239757,0.002888888888888889,0.0020031340315354446,0.0019957878847364093
control,43,ablate_g1,0.0011199601859670002,1.0820431408525324,0.002444444444444445,0.0020024714512043833,0.001995187119891806
control,43,ablate_g3,0.00119562499611892,1.1511462233221532,0.012222222222222221,0.004614158503616062,0.004352480898449971
control,43,ablate_random,0.00113516682064544,1.095870620971472,0.009999999999999998,0.0036397711147600504,0.003661638570778961
control,43,ablate_nommd,0.0022890550926367203,2.087543033390079,0.028666666666666667,0.010535585872288079,0.010636728362090932
control,43,ablate_samplewt,0.00115306681301526,1.1119219009753047,0.013555555555555559,0.004686853714437211,0.0046894256073430575
control,43,ablate_rho0,0.00117464993131736,1.1329657431926752,0.008,0.0034278394036237002,0.0033313976961256383
control,44,local_only,0.00121361610528282,1.1656662544211085,0.04088888888888889,0.01439639907823084,0.014316833287219426
control,44,fedavg,0.0011741647081084598,1.1292172482762686,0.010666666666666666,0.003057114667938234,0.0029974399010971385
control,44,fedprox,0.0011710468239578,1.1261404912763946,0.008666666666666666,0.0029529579058162605,0.002929617803521878
control,44,fedproto,0.00103202328044848,0.9927306891028789,0.002666666666666667,0.0015522829421974168,0.0015343233730527007
control,44,fedtypo_noreg,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,fedtypo,0.0011612402512785,1.1162675185475046,0.008888888888888889,0.0030480323135720832,0.002942361628295901
control,44,cda_fedavg,0.0011741647081084598,1.1292172482762686,0.010666666666666666,0.003057114667938234,0.0029974399010971385
control,44,ablate_g1,0.0011721963646503398,1.127066524924603,0.010666666666666668,0.0037628289870316445,0.0036971127038681606
control,44,ablate_g3,0.00116492276362694,1.120134592785582,0.008888888888888889,0.0033005732865072726,0.00319141505310603
control,44,ablate_random,0.00117163680826072,1.1263764838286603,0.011555555555555557,0.0039054008595145384,0.003839508680941622
control,44,ablate_nommd,0.00115920318676966,1.114461418340794,0.008888888888888889,0.003041814879190356,0.0029367937518920625
control,44,ablate_samplewt,0.00115625800225236,1.1119940778620558,0.008222222222222223,0.0028813903319225556,0.0027792800868965154
control,44,ablate_rho0,0.00115685336066212,1.1121829398576766,0.008,0.003157711040642594,0.0030342509238667297
control,45,local_only,0.00115517310678244,1.1159953507100193,0.01711111111111111,0.006431927107879583,0.006429262271360738
control,45,fedavg,0.00112975859896358,1.0923686950637503,0.0013333333333333335,0.0017954249903585058,0.001774397489740602
control,45,fedprox,0.00112955330069306,1.0925281017018498,0.0011111111111111111,0.0017244960251147445,0.0017027871574793547
control,45,fedproto,0.0009977708030520398,0.9648277195560843,0.0,0.0011278590140006888,0.001122551594494257
control,45,fedtypo_noreg,0.00128184774320364,1.2362107034554746,0.006888888888888889,0.0048040005038450725,0.004771236949903397
control,45,fedtypo,0.00142779752690886,1.3853062921238055,0.007555555555555555,0.004727664435929073,0.004701304023047678
control,45,cda_fedavg,0.00112975859896358,1.0923686950637503,0.0013333333333333335,0.0017954249903585058,0.001774397489740602
control,45,ablate_g1,0.00113409160261472,1.0965235772131972,0.002,0.001928239300297739,0.0019078637897684205
control,45,ablate_g3,0.00115668272487176,1.1174417946905248,0.008444444444444445,0.004263346878819572,0.004191990296852026
control,45,ablate_random,0.0011363640414034201,1.0985760214798128,0.0015555555555555557,0.0019325089558475052,0.001909781706049481
control,45,ablate_nommd,0.0012811117445742,1.2355262709642012,0.00711111111111111,0.004833400722023839,0.004800309301518626
control,45,ablate_samplewt,0.00119890450190274,1.1589072089439862,0.008222222222222223,0.0046288052604089224,0.004577760975936373
control,45,ablate_rho0,0.00112008855643752,1.0835972685926283,0.003777777777777778,0.0027254832983339555,0.0027230378614416908
control,46,local_only,0.0015127215244825402,1.442480743525553,0.043111111111111114,0.014894317594318422,0.014796634764879543
control,46,fedavg,0.0011281113238023998,1.0896385784012526,0.018,0.0065065649250604495,0.006461977260954222
control,46,fedprox,0.0011375887883109598,1.098517936623431,0.022666666666666672,0.006305576737896883,0.006263429185054324
control,46,fedproto,0.00103865213054908,1.0016099968928205,0.0017777777777777779,0.0016907334989820998,0.0016817231429746933
control,46,fedtypo_noreg,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,fedtypo,0.0011271075056638602,1.0888350274509286,0.018000000000000002,0.0053605238688608,0.005295264492206788
control,46,cda_fedavg,0.0011281113238023998,1.0896385784012526,0.018,0.0065065649250604495,0.006461977260954222
control,46,ablate_g1,0.0011395051402267199,1.1004396754088617,0.026666666666666665,0.0074431106090927,0.007412774639543171
control,46,ablate_g3,0.0011277846950554,1.0890879815336068,0.02088888888888889,0.006193665233776561,0.006104340102918448
control,46,ablate_random,0.00116337880892638,1.123204569980264,0.018222222222222223,0.006159412897364534,0.006149415690590602
control,46,ablate_nommd,0.00112589452485598,1.0877930850934303,0.018666666666666668,0.004776819925438055,0.004757558244166097
control,46,ablate_samplewt,0.0011231799921243401,1.0852379010606383,0.013333333333333332,0.003764902619398056,0.003770442260500758
control,46,ablate_rho0,0.00113602519148354,1.0969287802329863,0.026,0.007602266673849433,0.007553061956778651
control,47,local_only,0.00129448747184274,1.2416294525650002,0.024000000000000007,0.009049571300345779,0.008998679017587182
control,47,fedavg,0.00126574533376922,1.2122285213889143,0.002888888888888889,0.0022010479361581612,0.0022042622553394993
control,47,fedprox,0.00127060388929268,1.2170000472235212,0.005333333333333333,0.0028214528346590393,0.002836173721918202
control,47,fedproto,0.00108241187586684,1.0425854970210948,0.02022222222222222,0.007428941786443734,0.0074049655257071275
control,47,fedtypo_noreg,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,47,fedtypo,0.00127696105000424,1.223083798783662,0.008666666666666666,0.003257320115742544,0.0032567573474006637
control,47,cda_fedavg,0.00126574533376922,1.2122285213889143,0.002888888888888889,0.0022010479361581612,0.0022042622553394993
control,47,ablate_g1,0.0012657294715992,1.2121690449915188,0.004666666666666666,0.0025141544300082107,0.0025221294022202087
control,47,ablate_g3,0.00126990654045908,1.2162981270658837,0.004666666666666667,0.0025305771417278335,0.002529170599211091
control,47,ablate_random,0.00132695771633538,1.2697962852656701,0.014222222222222225,0.004315677395932051,0.004286742446071619
control,47,ablate_nommd,0.0012807500207259602,1.226778452596169,0.010666666666666666,0.003559546338030512,0.003535653601894292
control,47,ablate_samplewt,0.0013161933496282003,1.261409739729594,0.012,0.004382599362049406,0.0043624478171905194
control,47,ablate_rho0,0.00128191829437546,1.227476579859512,0.010666666666666668,0.003663011419124011,0.003606279287001469
control,48,local_only,0.00271636337029418,2.642488127737809,0.05422222222222222,0.022018590905537254,0.02183624900756278
control,48,fedavg,0.0017679446509822401,1.751637753876158,0.030222222222222223,0.009843076548894377,0.00979819771461951
control,48,fedprox,0.00175969169649654,1.7440258751279836,0.017333333333333333,0.005519233938233762,0.005516038612658627
control,48,fedproto,0.0017279392706248402,1.71755008361002,0.009333333333333332,0.0032981205067498945,0.0033107712774172572
control,48,fedtypo_noreg,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,fedtypo,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,cda_fedavg,0.0017679446509822401,1.751637753876158,0.030222222222222223,0.009843076548894377,0.00979819771461951
control,48,ablate_g1,0.0017707252477532,1.7543471160464974,0.029777777777777785,0.010517996961624431,0.01044064659726452
control,48,ablate_g3,0.00176303223057058,1.7469663182109794,0.026888888888888893,0.008660093881090417,0.008645304631008394
control,48,ablate_random,0.00176881580500964,1.7525357779253241,0.027777777777777776,0.010583058594030073,0.010568238620830943
control,48,ablate_nommd,0.00176680438151718,1.7504117520180507,0.030444444444444448,0.010902351405667773,0.010842289410462032
control,48,ablate_samplewt,0.00176581093693274,1.7496066947986963,0.02755555555555556,0.009187622466104384,0.009189144580192179
control,48,ablate_rho0,0.0017670720424065797,1.750690362235136,0.034,0.010795736117447094,0.010761002380362065
control,49,local_only,0.0031433965697885797,3.03077057215108,0.036888888888888895,0.014903051027511945,0.014739914789111457
control,49,fedavg,0.0021001118048293204,2.054666545169255,0.013555555555555559,0.005831998848156066,0.005639986464531801
control,49,fedprox,0.00210943708161414,2.0630485467057733,0.011555555555555557,0.004965829288040072,0.00484220038922348
control,49,fedproto,0.0018823699966848202,1.8433538659794877,0.006,0.0028896193790121944,0.0028513361824634275
control,49,fedtypo_noreg,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,fedtypo,0.0021316556676985203,2.0801650217883334,0.01466666666666667,0.005828325450903454,0.005688229039382316
control,49,cda_fedavg,0.0021001118048293204,2.054666545169255,0.013555555555555559,0.005831998848156066,0.005639986464531801
control,49,ablate_g1,0.00210986353888888,2.064148425519322,0.014222222222222225,0.006106825948718194,0.005914608659503559
control,49,ablate_g3,0.0020722288779621003,2.027613404548789,0.014444444444444446,0.0057708288869811565,0.00556367470931777
control,49,ablate_random,0.00209684761284962,2.051242114201652,0.012666666666666668,0.005670154367141332,0.005527689645931786
control,49,ablate_nommd,0.0020984136442013398,2.051997437477967,0.01377777777777778,0.005966804136979327,0.005799379807635742
control,49,ablate_samplewt,0.00213541770888698,2.083578494033947,0.014222222222222225,0.006092735506474,0.005901590248894711
control,49,ablate_rho0,0.0021176693357380398,2.0685905875451014,0.014888888888888892,0.00627648057284025,0.006096730092698795
control,50,local_only,0.00131116784753988,1.2652901963809646,0.03133333333333334,0.010165903707275522,0.01011233664888144
control,50,fedavg,0.00116483277349004,1.1244559074283056,0.004888888888888889,0.0021522638384656612,0.0021225384391808455
control,50,fedprox,0.0011667495505094,1.1262048198533878,0.0022222222222222222,0.0020883085716977387,0.0020589210567226626
control,50,fedproto,0.00106156358555212,1.0258978939017158,0.0035555555555555557,0.0017225158502254167,0.0017197612717900605
control,50,fedtypo_noreg,0.0011610578878337799,1.1208158683795344,0.003333333333333334,0.0020341181050669115,0.002006465608584179
control,50,fedtypo,0.00156910476973574,1.4993002727753577,0.0031111111111111114,0.0022888132598087724,0.002259823789447384
control,50,cda_fedavg,0.00116483277349004,1.1244559074283056,0.004888888888888889,0.0021522638384656612,0.0021225384391808455
control,50,ablate_g1,0.0011643612496844403,1.1240159441263675,0.003333333333333334,0.0020599125338899,0.0020316319425355235
control,50,ablate_g3,0.0011690543148359,1.1287806202371367,0.002888888888888889,0.0020531748752381615,0.0020253784238403274
control,50,ablate_random,0.0011667160582004,1.1264189127490567,0.002888888888888889,0.0020668477604636223,0.002039669445063299
control,50,ablate_nommd,0.00116106711006296,1.1207956985321452,0.003555555555555556,0.0020619985627479947,0.002034428483136163
control,50,ablate_samplewt,0.00116158138326376,1.1213100128037685,0.0051111111111111105,0.0022186267804793942,0.002187902234090056
control,50,ablate_rho0,0.00116042474443444,1.1202393262310815,0.003555555555555556,0.0020455985660965113,0.0020183029720990133
control,51,local_only,0.0011478037727781,1.1119445055002444,0.03066666666666667,0.011028738202089189,0.011016411775918125
control,51,fedavg,0.00117564235409084,1.1378487574772176,0.028444444444444446,0.008682495246295366,0.00857765874861858
control,51,fedprox,0.0022675417548830602,2.179741770362972,0.04044444444444444,0.012325096467703151,0.012427981729119431
control,51,fedproto,0.0010554086759393,1.0201065375320066,0.022444444444444444,0.010005707716261539,0.00994160051348151
control,51,fedtypo_noreg,0.0011767648693867198,1.1391344135638957,0.026444444444444448,0.008217772312956083,0.008047666494983252
control,51,fedtypo,0.00150712367044134,1.4589810481794312,0.023555555555555555,0.007370940673173527,0.007338917856885869
control,51,cda_fedavg,0.00117564235409084,1.1378487574772176,0.028444444444444446,0.008682495246295366,0.00857765874861858
control,51,ablate_g1,0.00123778809854488,1.1971506579726192,0.04488888888888889,0.013951254442453983,0.013892689081151674
control,51,ablate_g3,0.0011585389261254799,1.1213093578341742,0.024888888888888898,0.00825524789743054,0.008054317846670999
control,51,ablate_random,0.00120151957747456,1.163784989911213,0.03866666666666667,0.012724307796068616,0.012791165213754889
control,51,ablate_nommd,0.00117489177441994,1.1372510495471038,0.026222222222222227,0.008060491072889043,0.007899440932155291
control,51,ablate_samplewt,0.0011729284891082998,1.1354961552169014,0.029333333333333336,0.008282382732255365,0.008158951810922258
control,51,ablate_rho0,0.00117810828715922,1.1406718676272565,0.02711111111111111,0.008276329819504304,0.008088876630418242
drift,42,local_only,0.00128462632405548,1.2367543315781713,0.032,0.011509580469158377,0.011355309161313798
drift,42,fedavg,0.00115636983266076,1.1110717782161394,0.006222222222222223,0.0022613851071912002,0.0022458989912163257
drift,42,fedprox,0.0011397894843816,1.095103275524918,0.0011111111111111111,0.0016501448706863725,0.00163459902646429
drift,42,fedproto,0.0011351466956909199,1.0932709313219076,0.0024444444444444444,0.0016010075561962499,0.0015837070545621096
drift,42,fedtypo_noreg,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,fedtypo,0.0011480969671247801,1.1030978078899452,0.005555555555555556,0.0021246056289645496,0.0021111215026915
drift,42,cda_fedavg,0.00115636983266076,1.1110717782161394,0.006222222222222223,0.0022613851071912002,0.0022458989912163257
drift,42,ablate_g1,0.00115852189707096,1.1131851414016116,0.008444444444444445,0.0025217015211769283,0.002508349981192789
drift,42,ablate_g3,0.00114735355461606,1.1021069549733529,0.00711111111111111,0.0024924084239385117,0.0024831686037271998
drift,42,ablate_random,0.00115947489034962,1.1140735299100049,0.010666666666666666,0.0031687188601299057,0.0031429567691991455
drift,42,ablate_nommd,0.00115147939953076,1.1064047188025543,0.006444444444444444,0.0023835841473686115,0.0023714056470574086
drift,42,ablate_samplewt,0.0011474449791565799,1.1024260605862746,0.006444444444444444,0.002130369763792772,0.0021164756355281215
drift,42,ablate_rho0,0.00115550752667118,1.11035740536233,0.014,0.004194022747988506,0.0041647418597815416
drift,43,local_only,0.0011329996726344598,1.0828626042643876,0.02488888888888889,0.006855829948389639,0.006825379651809644
drift,43,fedavg,0.00106465971723272,1.0203975416843407,0.0071111111111111115,0.0020795407842309718,0.0020645313071106512
drift,43,fedprox,0.00105114896526542,1.0072415450763785,0.0024444444444444444,0.0015464604200454556,0.0015366599623166685
drift,43,fedproto,0.0031985994631775197,2.8378912307966346,0.014444444444444446,0.005946905024652822,0.005918640597693352
drift,43,fedtypo_noreg,0.0010533966065921,1.0097084595165355,0.0013333333333333333,0.0015233049630647168,0.001513410897077892
drift,43,fedtypo,0.0012210896741662,1.1662864584764514,0.0017777777777777779,0.001528192544807889,0.0015228120795523186
drift,43,cda_fedavg,0.00106465971723272,1.0203975416843407,0.0071111111111111115,0.0020795407842309718,0.0020645313071106512
drift,43,ablate_g1,0.00106618538128268,1.0218630301356826,0.00688888888888889,0.002285511640433489,0.0022655270369075524
drift,43,ablate_g3,0.00109541240085982,1.0476377581807677,0.008222222222222223,0.003317243974794533,0.003252000379050216
drift,43,ablate_random,0.00107828324298408,1.0333197825536036,0.011555555555555557,0.003931392458646884,0.0039124249990342185
drift,43,ablate_nommd,0.00105164828705168,1.0079571155633928,0.0015555555555555557,0.0015137732229410221,0.0015039853176991777
drift,43,ablate_samplewt,0.0010502511497035801,1.006751429832439,0.002,0.0015288554885985054,0.0015186553820833505
drift,43,ablate_rho0,0.0010736469097519402,1.0275810973246045,0.014222222222222223,0.005765501623483944,0.005791110096080437
drift,44,local_only,0.0011023779085610201,1.0514926704087844,0.037111111111111116,0.013488717609676145,0.013453703609082013
drift,44,fedavg,0.00106676148326144,1.0181212435399665,0.006,0.002438077628052133,0.0023371690695373694
drift,44,fedprox,0.0010547498222725,1.006764045021431,0.003555555555555555,0.0019084317467479943,0.0018427408025422196
drift,44,fedproto,0.0009654637017496,0.9221275423619449,0.0031111111111111114,0.0012942466299864666,0.0012875029408673207
drift,44,fedtypo_noreg,0.0010845894189052399,1.035722292613669,0.007555555555555556,0.003114323373224061,0.002977744318394728
drift,44,fedtypo,0.00178913925698534,1.7375267370176666,0.015555555555555557,0.004556725522912567,0.004392498331293555
drift,44,cda_fedavg,0.00106676148326144,1.0181212435399665,0.006,0.002438077628052133,0.0023371690695373694
drift,44,ablate_g1,0.00106018148059976,1.0120179056679461,0.0071111111111111115,0.002399480340396233,0.002286888293244882
drift,44,ablate_g3,0.00108480162880724,1.0359491715802576,0.014222222222222225,0.004746614371296528,0.00464643473748268
drift,44,ablate_random,0.0010814951603404601,1.0315190466824198,0.008666666666666666,0.0027276437481984937,0.002624695993918055
drift,44,ablate_nommd,0.0010863144706262202,1.0372201551545213,0.009333333333333334,0.003481306556660472,0.003328879288205507
drift,44,ablate_samplewt,0.00106914752367736,1.0214091120623983,0.006,0.0027795757933344275,0.0026287236446846493
drift,44,ablate_rho0,0.00110771371521628,1.055690018151521,0.010222222222222221,0.0035822530753774943,0.0034264475089690574
drift,45,local_only,0.0010889657746624398,1.0463811975959938,0.017333333333333333,0.006134797454975156,0.006111403539775585
drift,45,fedavg,0.00111959470348044,1.0750771612538181,0.009333333333333332,0.00346338704026835,0.0034076557211318976
drift,45,fedprox,0.0010393580931946198,0.9994348136399829,0.0022222222222222222,0.0016635065529652167,0.001655081214572884
drift,45,fedproto,0.00097687022586764,0.9386374847137999,0.0,0.0010561245931683721,0.0010520562668321198
drift,45,fedtypo_noreg,0.0011012216950789,1.0573308860838009,0.004666666666666666,0.0027207457958097446,0.0025832819383445047
drift,45,fedtypo,0.00137150718571628,1.3222121138051963,0.002888888888888889,0.0018599621447773888,0.0018383964967176789
drift,45,cda_fedavg,0.00111959470348044,1.0750771612538181,0.009333333333333332,0.00346338704026835,0.0034076557211318976
drift,45,ablate_g1,0.0010404095211266802,1.0000241111771815,0.0011111111111111111,0.0014882337939637056,0.0014766105753702431
drift,45,ablate_g3,0.00110789371096248,1.0640561774489155,0.0077777777777777776,0.003176945135383689,0.003067604928595861
drift,45,ablate_random,0.0010489167056260999,1.0089680256143672,0.0,0.001369797884196478,0.001355302280762613
drift,45,ablate_nommd,0.00110224040980782,1.059568007059154,0.005777777777777778,0.0029232757869989,0.0028586813062079558
drift,45,ablate_samplewt,0.0010844310469387002,1.0416751902771189,0.003555555555555555,0.0019192384772340051,0.0018639446620069753
drift,45,ablate_rho0,0.0010889452763662199,1.0452540714796312,0.003111111111111111,0.0021313601277813776,0.002028728425453802
drift,46,local_only,0.0014544038729354,1.37450711475819,0.043777777777777784,0.014748854072059562,0.014667790556832028
drift,46,fedavg,0.0010882281041129601,1.0405805870274496,0.024444444444444446,0.009042772741094138,0.008974512417643913
drift,46,fedprox,0.0012994431517736398,1.2338167061767518,0.038000000000000006,0.012710590953076912,0.012688398771814928
drift,46,fedproto,0.00100892860460204,0.9638108090240032,0.00688888888888889,0.0024176100531762223,0.002415276305167865
drift,46,fedtypo_noreg,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,46,fedtypo,0.00159042072430636,1.4963846809598287,0.020666666666666667,0.00564427909070585,0.005632981259801812
drift,46,cda_fedavg,0.0010882281041129601,1.0405805870274496,0.024444444444444446,0.009042772741094138,0.008974512417643913
drift,46,ablate_g1,0.00115673016777178,1.1062788711554787,0.02822222222222222,0.00805196351528394,0.00796456055739048
drift,46,ablate_g3,0.00163108906979436,1.5338631836746524,0.025333333333333336,0.007103594009084672,0.0070650126723694785
drift,46,ablate_random,0.0011083668063640798,1.0594294663693524,0.015333333333333332,0.004629033867388756,0.004541787399348627
drift,46,ablate_nommd,0.00147289694274752,1.418890070751816,0.027333333333333334,0.008739154177262811,0.008681257766880028
drift,46,ablate_samplewt,0.0015642019030233999,1.472297896885618,0.016444444444444446,0.0050929308669462655,0.005076674878623154
drift,46,ablate_rho0,0.00204380999466032,1.9068055171864977,0.021111111111111112,0.006066987503547205,0.005995471571619883
drift,47,local_only,0.0012490828298620002,1.1856903808503048,0.02088888888888889,0.0061820935126844,0.006171064885532211
drift,47,fedavg,0.0012341157698138399,1.170863555778132,0.010222222222222221,0.0036298021633122558,0.0035672244479834085
drift,47,fedprox,0.00123122540288426,1.1680378725882772,0.008888888888888889,0.0033375625287410055,0.003283497554042739
drift,47,fedproto,0.0019017653721742599,1.815126274870081,0.01977777777777778,0.00734049470836645,0.007470082331748669
drift,47,fedtypo_noreg,0.00108283219387494,1.0370243062108826,0.016,0.004591143784742272,0.004511189764398344
drift,47,fedtypo,0.0014861933245252398,1.421782003201173,0.013111111111111113,0.004160446020613184,0.004150737182438035
drift,47,cda_fedavg,0.0012341157698138399,1.170863555778132,0.010222222222222221,0.0036298021633122558,0.0035672244479834085
drift,47,ablate_g1,0.00123474619256368,1.1714808552897202,0.009777777777777778,0.0034720894813355784,0.0034110770541358197
drift,47,ablate_g3,0.00124821460868258,1.1844003067517799,0.012666666666666668,0.004015020059192511,0.0040178203498329275
drift,47,ablate_random,0.00123354625463442,1.170407892192344,0.011777777777777778,0.003948089232907578,0.0039008719847044974
drift,47,ablate_nommd,0.0010811122551681,1.0354034179790077,0.015333333333333332,0.0044972944991391334,0.004427119192433061
drift,47,ablate_samplewt,0.0010779821027399402,1.0327218894827739,0.014222222222222223,0.0041157151718746055,0.004060487997180403
